occurrenceID,basisOfRecord,ownerInstitutionCode,collectionCode,catalogNumber,sharetype,bibliographicCitation,references,scientificName,scientificNameAuthorship,genus,specificEpithet,verbatimEventDate,eventDate,year,month,day,eventRemarks,recordedBy,recordNumber,habitat,elevationInMeters,identifiedBy,dateIdentified,identificationRemarks,previousIdentifications,typeStatus,country,stateProvince,county,municipality,locality,locationRemarks,verbatimCoordinates,decimalLatitude,decimalLongitude,geodeticDatum,coordinateUncertaintyInMeters,georeferencedBy,georeferencedDate,georeferenceRemarks,associatedSequences,occurrenceRemarks,individualCount,lifeStage,eventID,sensitiveLocation,samplingProtocol,numberObservers,additionalObservers,startTime,endTime,areaSearchedInHa,targetTaxonGenus,targetTaxonSpecificEpithet,firefliesPresent,sunsetTime,habitatRemarks,specimenVoucherNumbers,firstFlashTime,lastFlashTime,firstFlashTempF,lastFlashTempF,flashesInPattern,flashColor,flashPatternPeriod,flashDuration,flashInterval,maleHeightZones,flashLocation,maleFlashBehavior,femaleFlashBehavior,observationStatus
,,,,35714,,,,,,Photinus,knulli,,7/29/2022,2022,7,29,,Anna Walker,,riparian,989,,,,,,,Arizona,,,Tumacacori National Historic Park,,,31.568986,-111.0456116,,25-50,,,,,"This is a very small Photinus species, likely just over 5mm. Flashing started closer to the ground but got higher as the night went on. Eventually there were fireflies flashing high in the cottonwood trees as well. Not sure if they were male or female. Slight synchrony was noticed. Display area was open field, with tall grass and a few scattered shrubs, in the flood plain of the Santa Cruz river. It was bordered on both sides by relatively thick trees. ",11_50,,35713,0,survey,10-Feb,Participants of the Invertebrates in Education and Conservation Conference.,19:54,20:42,0.05,Photinus,knulli,yes,19:22,Cottonwood forest. ,a:0:{},20:01,20:42,78.8,75,3,,6,1,5,"a:3:{i:0;s:0:"""";i:1;s:8:""moderate"";i:2;s:4:""high"";}","Flashes are across the open area, as well as high up in the trees. ",Males give off a quick series of three flashes at intervals of about 5 seconds. They often exhibit slightly vertical flight from the first flash to the third flash. ,No noticed. Possibly flashing from up in the cottonwood trees. ,unreviewed
,,,,35752,,,,,,Photinus,knulli,,8/3/2022,2022,8,3,Located in a dry stretch of the West Branch of the Santa Cruz River near Mission and Ajo Way behind the Food City store. Scott Cywlik of Tucson photographed P. knulli here in previous years,Cheryl Mollohan,,shrub_scrub,734.5,,,,,,,Arizona,,,"West Branch of the Santa Cruz River, Mission and Ajo Way, Tucson, Arizona",,,32.1804166,-111.0013805,,0-25,,,,,Fireflies were sitting in ephemeral vegetation in wash bottom at 3-4 feet in height with short flights (within 10 feet of vegetation).  ,2_10,,35751,1,incidental,5,"Candace Fallon, Anna Walker, Saff Killingsworth, Mary Gilbert
",19:50,20:10,0.3226,Photinus,knulli,yes,19:19,This is in a dry sand wash with some ephemeral vegetation and some tree species along the edge (mesquite) surrounded by development. ,a:0:{},,,,,,,,,,"a:4:{i:0;s:0:"""";i:1;s:0:"""";i:2;s:0:"""";i:3;s:0:"""";}",,,,verified
,,,,36204,,,,,,Bicellonycha,wickershamorum piceum,,6/10/2023,2023,6,10,"Fireflies were seen in a very small area. We expected to see them in other places along the riparian area, but apart from one or two flashes upstream about 15m, all activity was focused within microhabitat/wetland. ",Anna Walker,,open_freshwater_wetland,1566,,,,,,,New Mexico,,,Turkey Creek Hot Spring,,,33.115215,-108.484102,,0-25,,,,,"Half an hour before dark and at least 10 minutes before sunset, females started appearing on the vegetation. Males started flashing from the vegetation around sunset. At this time, the flashes appeared yellow, but as it got darker, the flashes continued to appear more green. Males started flying after it got darker. There were likely a couple hundred flashing in a very concentrated area. ",50+,,36198,0,survey,2,John Gorey,20:19,21:42,0.02,Bicellonycha,wickershamorum piceum,yes,20:22,"Microhabitat where fireflies were seen is very specific wetland created adjacent to desert canyon stream, about 10 m downstream of a hot spring. At the time of the observation, stream did not seem to be flowing into wetland, so it is likely spring fed, and the bank is shaped in a way that gathers spring water. There was a large pool that was mostly still, and a few marshy areas where cattails and other wetland plants where coming up. The whole area is enclosed in a thicket of willows. There were no other wetland habitats like this (with cattails) seen as we hiked up Turkey Creek from the Gila River, so it is likely firefly activity is restricted to small areas like this. Surrounding canyon in oak, juniper, pinon woodland. Other vegetation along the stream includes alders, small cottonwoods, and sycamores. The monsoon rains brought high waters to the area last summer, but fireflies do not seem to have been disturbed. They were seen at this location last year (2022) on May 30th and the sighting was reported to Western Firefly Project.",a:0:{},20:30,21:42,73,69,1,,2,1,1,"a:3:{i:0;s:0:"""";i:1;s:3:""low"";i:2;s:8:""moderate"";}","Flashes are mostly concentrated in wetland microhabitat adjacent to stream. There are flashes in the vegetation, as well as given off while males are flying. ","Started flashing in vegetation before starting to fly. Some males continued flashing from vegetation throughout the night. They seemed to fall slightly while they flashed. They do not move very far or very fast, though generally move horizontally. The wetland habitat is quite enclosed, and the stayed within the shrub canopy, so they never flew very high. They also stay semi-lit during the interval between flashes, which makes it easy to follow their trajectory. ","Single flash at short interval. Females were found on vegetation upon arrival to the microhabitat at 8:19 PM, about ten minutes before the males started flashing. ",verified
,,,,36350,,,,,,Bicellonycha,wickershamorum wickershamorum,,6/23/2023,2023,6,23,Brief stop at known BWW location.,Robert Fink,,riparian,"1,389",Candace Fallon,7/30/2024,Cannot be verified to species without photo and/or more definitive flash/glow pattern description. ,,,,Arizona,,,LCNCA Empire Gulch,,,31.78775,-110.63599,,0-25,,,,,One individual observed flashing while on grass.,1,,36349,0,survey,1,NA,22:00,22:15,0.1,Bicellonycha,wickershamorum wickershamorum,yes,,Cottonwood gallery. Rabbit's foot grass and native spp present.,a:0:{},22:00,22:15,71,71,1,,Continuous?,0.25,3,"a:2:{i:0;s:0:"""";i:1;s:3:""low"";}",1' off ground in grass within a few feet of stream.,,,unverified
,,,,36352,,,,,,Bicellonycha,wickershamorum wickershamorum,,6/24/2023,2023,6,24,"Two flashing fireflies were observed. One was always flying while flashing a few feet off ground, and the other was first observed flashing on grass adjacent to water before it flew out of sight towards Cienega Creek while flashing.",Robert Fink,,riparian,"1,325",,,,,,,Arizona,,,LCNCA Cienega 1,,,31.80582,-110.58672,,50-100,,,,,"Fireflies were only observed at a distance. One remained on green riparian grass (or perhaps sedges) within feet of the water until approximately 8:15 PM when it flew a few feet off the ground while flashing toward Cienega Creek and disappeared. Another individual was observed flying a few feet off the ground while flashing for approximately 30 minutes during the survey period. This individual appeared to be scouting over much of the pond and its surrounding riparian vegetation, and it also spend some time flying over more xeric grassland between the Cienega and Cienega Creek.",2_10,,36351,0,survey,2,Brittany Oleson,19:50,20:45,1.3,Bicellonycha,wickershamorum wickershamorum,yes,,Wetland vegetation within a cattle exclosure including cattails and lush herbaceous vegetation. Typical desert grassland vegetation surrounded the riparian habitat.,a:0:{},20:05,20:35,85,81,1,,Continuous?,0.25,3,"a:3:{i:0;s:0:"""";i:1;s:3:""low"";i:2;s:8:""moderate"";}",Continuous flash pattern whether perched on grass near the water or while flying.,,,verified
,,,,36436,,,,,,Bicellonycha,wickershamorum wickershamorum,,7/1/2023,2023,7,1,,Cheryl Mollohan,,open_freshwater_wetland,1262,,,,,,,Arizona,,,"Mint Springs, Muleshoe Ranch",,,32.348713,-110.2396,,0-25,,,,,Approximately 75 flashers. Males were flying just above the sedge vegetation at about 2-3 feet. Flashing very fast and flying very fast but localized.,50+,,36435,1,survey,2,Charlie Turner,19:30,21:00,0.29,Bicellonycha,wickershamorum wickershamorum,yes,19:31,"Improved natural spring - pool that was excavated for native fish is approximately 3 meters by 4 meters.  Primary vegetation is sedge with dry hillocks and some standing water.  The site is surrounded by ash, cottonwood, and mesquite trees. ",a:0:{},19:41,20:52,89.6,82.5,1,,1-2 seconds repeated continuously,less than one second,one flash every .67-1 second,"a:2:{i:0;s:0:"""";i:1;s:3:""low"";}",Males were flying just above the sedge vegetation throughout most of the flight time.  A few flew up to about 5 from the ground as the evening wore on.,"Flashes were single and fast.  Flight was localized.  This is a much different flash pattern than observed at this site in June of 2022 which was a more typical slow flying slow flashing Bw.  These ""fast flashers"" appeared sometime in early July of 2022 and had completed their flight by mid-July. ","I was unable to capture a female to verify.  I think the females were sitting on the vegetation, flashing slightly slower and fainter. ",verified
,,,,36454,,,,,,Bicellonycha,wickershamorum wickershamorum,,7/2/2023,2023,7,2,There was a very bright and very full moon that rose over the site during the time the fireflies were active.  ,Cheryl Mollohan,,open_freshwater_wetland,1262,,,,,,,Arizona,,,,,,32.348713,-110.2396,,0-25,,,,,"MSMN - 023- #1-10 (all males) collected and placed in a tent with a GoPro 360 camera to test for synchronicity per R. Sarfati's protocol and request.  The fireflies were then collected and will be sent to Luiz Silveira for comparison to previous earlier collections of Bw at the Muleshoe Ranch for taxonomy and DNA.   This cohort appears to be smaller in size (8.5-9 mm) in general have less orange or rose pink coloration on the elytra than previous Bw collections, and fly much faster.  The flash pattern is a single flash repeated every .67-1second versus other Bw recorded flashes of a single flash every 2-7 seconds. ",50+,,36450,1,survey,2,Charlie Turner,19:31,21:10,0.29,Bicellonycha,wickershamorum wickershamorum,yes,19:32,"Improved spring with small pool for native fish (3 m x 4 m). Otherwise a sedge community with some standing water and dryer hillocks. Surrounded by ash, cottonwood, and mesquite trees. ","a:1:{i:0;s:22:""MSMN - 023 - 01-10- CM"";}",19:42,21:00,87.1,82.5,1,,1-2 seconds repeated continuously,less than one second,one flash every .67-1 second,"a:2:{i:0;s:0:"""";i:1;s:3:""low"";}","This cohort flashes very low, just above the vegetation. As time progresses a few fly higher and farther, but most remain near the sedge tops.  Previous observations in June of 2022 at this location were more typical of Bw flight patterns, starting low near the vegetation but over time flying higher and farther.  This cohort also flashes much faster that other Bw observations. ",Fast flashing and fast flying. ,I did not get a good female observation. ,verified
,,,,36456,,,,,,Bicellonycha,wickershamorum wickershamorum,,7/4/2023,2023,7,4,This is the 3rd survey night for 2023.  Flashing was also recorded using GoPro 360 cameras per R. Sarfati's protocol for comparison to recordings collected last year from 15 June - 22 July 2022.  Prototype Meidase Trend cameras were also placed at the site and recorded a photo every 10 seconds beginning at 7:30 pm and ending at 10:00 pm.  The cameras will remain at this location for the next 30 days as a field test.,Cheryl Mollohan,,open_freshwater_wetland,1262,,,,,,,Arizona,,,,,,32.348713,-110.2396,,0-25,,,,,"This is a paired comparison of bright moonlight (2 July) and no moonlight (4 July) as moonrise occurred after the firefly activity had largely stopped about 9pm.  I noticed not difference in time of first or last flash, behavior, or estimated numbers of flashers. This survey was filmed using GoPro 360 cameras and Meidase prototype Trend cameras, as were the July 1 and 2 surveys. ",50+,,36455,1,survey,1,NA,19:30,21:00,0.29,Bicellonycha,wickershamorum wickershamorum,yes,19:32,"Improved spring with a 3 m x 3 m pool for native fish. Primarily a sedge community with some standing water interspersed with dryer hillocks. Surrounded by trees including cottonwood, ash, and mesquite. ",a:0:{},19:42,21:00,86.4,86.7,1,,1-2 seconds repeated continuously,less than one second,one flash every .67-1 second,"a:2:{i:0;s:0:"""";i:1;s:3:""low"";}",In general just at the top of the sedge community and very localized flashing. A few males flew higher and farther as the night wore on.  There were still one or two fireflies flashing when I ended the survey at 9 pm.  This was also the case July 1 and 2 surveys.,Fast erratic flight. Fast single flash every .67-1 second (measured using a voice recorder then transcribed). ,,verified
,,,,36655,,,,,,Bicellonycha,wickershamorum wickershamorum,,6/12/2023,2023,6,12,"Saw three individuals near the parking area and one where the cienega crosses the road. All flashes were on the vegetation; no flying was observed. We had gone to marsh site farther up the road to see activity, but we did not diffinitively see any flashing. We were at the large marsh site from about 8:00pm until 8:40pm. It was the tail end of the activity period by the time we got back to Empire Gulch, so if any were flying, we missed them. Growing degree days for 6/12/23 were 1162. Last year on June 12, 2022, the GGD was 1766. It has been a cold spring! ",Anna Walker,,open_freshwater_wetland,1384,Candace Fallon,7/30/2024,,,,,Arizona,,,Las Cienegas National Conservation Area- Empire Gulch,,,31.787694,-110.636148,,0-25,,,,,"Only saw four individuals at Empire Gulch. Also surveyed large marsh up the road, but no flashes were observed there. Did not catch and photograph specimen, but this is a known site for Bicellonycha wickershamorum, and that is the only species to be expected there. ",2_10,,36654,0,survey,2,Candace Fallon,18:54,20:50,0.76,Bicellonycha,wickershamorum wickershamorum,yes,19:28,"Cienega with cottonwood overstory within desert mesquite grassland. Wetland plants include willow, cattails, and yerba mansa. ",a:0:{},20:45,20:50,62,62,1,,NA,NA,NA,"a:2:{i:0;s:0:"""";i:1;s:3:""low"";}","Flashing was restricted to vegetation, so courtship flash pattern was not observed. It may have been too cold for flight by the time we got back to Empire Gulch. They could have been flashing earlier and we just missed them. We started the survey at the large marsh up the road, but did not find any individuals flashing there. ",NA,NA,verified
,,,,36785,,,,,,Photinus,knulli,,8/3/2023,2023,8,3,"Site first surveyed in 2021 (New Site).  
29 July 2021 - Dozens flashing in tree tops and on ground &lt;100 (75) Surveyed right before monsoon storm with active lightning and thunder. No rain during survey but rain after
30/31 July - 2021 - Re-visited with Joe Cicero, verified as P. knulli - Calm night , no storms, fewer flashing perhaps 50
18 August 2021 - Handful of flashes noted on vegetation and flying

3 August 2023 - Atlas Survey completed. Site was dry. No apparent recent rains.",Cheryl Mollohan,,woodland_forest,1085,,,,,,,Arizona,,,Buenos Aires NWF Arivaca Trail Parking Lot,,,31.593478,-111.363886,,0-25,,,,,Likely about 20 flashing...very desultory flashing.  Fireflies would repeat flash cycle 5-10 times and then stop.  Very intermittent in nature. ,11_50,,36784,0,survey,2,Al LeCount,19:56,21:02,0.45,Photinus,knulli,yes,19:19,Primarily mesquite with nearby cottonwoods along Wilbur Wash. Site is at trailhead and refuge info parking lot. Fireflies flashing on all 3 sides of parking lot. ,a:0:{},20:23,21:02,84,83.7 (Still flashing at end of survey),3,,"3-4 seconds, repeated 5-8 times",&lt; 1 second,&lt; 1 second,"a:4:{i:0;s:0:"""";i:1;s:3:""low"";i:2;s:8:""moderate"";i:3;s:4:""high"";}",Some were flashing from vegetation both low (within 3 feet of ground) and high (tree tops).  The flash was a triptych rapid flash then a 3-4 second break then the triptych rapid flash again.  ,Assuming that males were flying. They would flash for several repetitions then stop.  ,No females were evident,unreviewed
