"Plot Title: HOBO_1"
"#","Date Time, GMT-07:00","Temp, °F (LGR S/N: 20188511, SEN S/N: 20188511)","Intensity, lum/ft² (LGR S/N: 20188511, SEN S/N: 20188511)","Bad Battery (LGR S/N: 20188511)","Good Battery (LGR S/N: 20188511)","Host Connected (LGR S/N: 20188511)","Coupler Attached (LGR S/N: 20188511)","Stopped (LGR S/N: 20188511)","End Of File (LGR S/N: 20188511)"
1,05/29/24 07:00:00 PM,79.678,168.0,,,,,,
2,05/29/24 07:15:00 PM,74.446,81.0,,,,,,
3,05/29/24 07:30:00 PM,68.934,20.0,,,,,,
4,05/29/24 07:45:00 PM,63.797,0.0,,,,,,
5,05/29/24 08:00:00 PM,60.712,0.0,,,,,,
6,05/29/24 08:15:00 PM,57.268,0.0,,,,,,
7,05/29/24 08:30:00 PM,54.322,0.0,,,,,,
8,05/29/24 08:45:00 PM,53.973,0.0,,,,,,
9,05/29/24 09:00:00 PM,52.925,0.0,,,,,,
10,05/29/24 09:15:00 PM,54.147,0.0,,,,,,
11,05/29/24 09:30:00 PM,53.449,0.0,,,,,,
12,05/29/24 09:45:00 PM,52.750,0.0,,,,,,
13,05/29/24 10:00:00 PM,51.874,0.0,,,,,,
14,05/29/24 10:15:00 PM,51.346,0.0,,,,,,
15,05/29/24 10:30:00 PM,51.523,0.0,,,,,,
16,05/29/24 10:45:00 PM,51.874,0.0,,,,,,
17,05/29/24 11:00:00 PM,52.401,0.0,,,,,,
18,05/29/24 11:15:00 PM,49.228,0.0,,,,,,
19,05/29/24 11:30:00 PM,48.160,0.0,,,,,,
20,05/29/24 11:45:00 PM,51.346,0.0,,,,,,
21,05/30/24 12:00:00 AM,49.759,0.0,,,,,,
22,05/30/24 12:15:00 AM,50.113,0.0,,,,,,
23,05/30/24 12:30:00 AM,49.050,0.0,,,,,,
24,05/30/24 12:45:00 AM,45.286,0.0,,,,,,
25,05/30/24 01:00:00 AM,46.008,0.0,,,,,,
26,05/30/24 01:15:00 AM,44.922,0.0,,,,,,
27,05/30/24 01:30:00 AM,42.548,0.0,,,,,,
28,05/30/24 01:45:00 AM,41.810,0.0,,,,,,
29,05/30/24 02:00:00 AM,41.625,0.0,,,,,,
30,05/30/24 02:15:00 AM,42.915,0.0,,,,,,
31,05/30/24 02:30:00 AM,41.994,0.0,,,,,,
32,05/30/24 02:45:00 AM,41.994,0.0,,,,,,
33,05/30/24 03:00:00 AM,41.439,0.0,,,,,,
34,05/30/24 03:15:00 AM,41.254,0.0,,,,,,
35,05/30/24 03:30:00 AM,40.509,0.0,,,,,,
36,05/30/24 03:45:00 AM,39.947,0.0,,,,,,
37,05/30/24 04:00:00 AM,39.196,0.0,,,,,,
38,05/30/24 04:15:00 AM,39.760,0.0,,,,,,
39,05/30/24 04:30:00 AM,45.286,0.0,,,,,,
40,05/30/24 04:45:00 AM,45.466,0.0,,,,,,
41,05/30/24 05:00:00 AM,44.379,0.0,,,,,,
42,05/30/24 05:15:00 AM,44.195,20.0,,,,,,
43,05/30/24 05:30:00 AM,43.466,67.0,,,,,,
44,05/30/24 05:45:00 AM,41.439,128.0,Logged,,,,,
45,05/30/24 06:00:00 AM,41.067,168.0,,,,,,
46,05/30/24 06:15:00 AM,41.994,216.0,,,,,,
47,05/30/24 06:30:00 AM,43.831,272.0,,,,,,
48,05/30/24 06:45:00 AM,46.728,416.0,,,,,,
49,05/30/24 07:00:00 AM,49.404,512.0,,,,,,
50,05/30/24 07:15:00 AM,55.711,4608.0,,,,,,
51,05/30/24 07:30:00 AM,77.923,12800.0,,,,,,
52,05/30/24 07:45:00 AM,91.240,13824.0,,,,,,
53,05/30/24 08:00:00 AM,93.115,14848.0,,,,,,
54,05/30/24 08:15:00 AM,101.282,15872.0,,,,,,
55,05/30/24 08:30:00 AM,103.307,16384.0,,Logged,,,,
56,05/30/24 08:45:00 AM,103.512,15872.0,,,,,,
57,05/30/24 09:00:00 AM,87.915,7936.0,,,,,,
58,05/30/24 09:15:00 AM,85.194,9216.0,,,,,,
59,05/30/24 09:30:00 AM,101.082,19456.0,,,,,,
60,05/30/24 09:45:00 AM,95.400,10752.0,,,,,,
61,05/30/24 10:00:00 AM,110.264,19456.0,,,,,,
62,05/30/24 10:15:00 AM,99.885,3584.0,,,,,,
63,05/30/24 10:30:00 AM,108.750,20480.0,,,,,,
64,05/30/24 10:45:00 AM,115.637,20480.0,,,,,,
65,05/30/24 11:00:00 AM,115.178,20480.0,,,,,,
66,05/30/24 11:15:00 AM,117.968,21504.0,,,,,,
67,05/30/24 11:30:00 AM,117.498,20480.0,,,,,,
68,05/30/24 11:45:00 AM,112.467,20480.0,,,,,,
69,05/30/24 12:00:00 PM,114.492,20480.0,,,,,,
70,05/30/24 12:15:00 PM,109.180,20480.0,,,,,,
71,05/30/24 12:30:00 PM,112.244,19456.0,,,,,,
72,05/30/24 12:45:00 PM,110.482,19456.0,,,,,,
