Drainage,Site,Surveyor,Date,Results,Coordinates,Coordinates,Beg Temp,End temp,RH,Notes,
Fossil Creek,Fossil Springs at Admin Camp,"Janie Agyagos, Kayla Long, Eve Berlinsky, Thomas Kroll",6/3/24,None,34.420343,-111.58022,,,,"Possibly too early for fireflies. Dense riparian vegetation and travertine dams (deep pools) make it impossible to survey in riparian and have a view up or downstream. Set up survey in open area in uplands immeadiately adjacent to riparian hoping to see them rise out of riparian. Basically a wilderness area with steady visitation by people, but they stay in a few areas. The rest is wild and complex habitat!",
Fossil Creek,Fossil Springs Downstream,"Eve Berlinsky, Thomas Kroll",6/4/24,None,34.41985,-111.58009,78.6,,,"Not a large bank, lots of cattails/grasses along travetine dams. Managed rec area with very little use at survey site.",
Fossil Creek,Fossil Springs Upstream,"Janie Agyagos, Kayla Long",6/4/24,None,34.426041,-111.572989,78.6,,,"Intermittent pools above springs, not much grass/wet soil. Cobble and boulder substrate.",
West Clear Creek,Bullpen,"Eve Berlinsky, Kayla Long",6/10/24,None,34.539181,-111.704659,78.3,74.2,26.7,"Carex grass, flood debris, about 2 feet of wet soil near stream then it's dry. Managed rec site. ",
West Clear Creek,Bullpen,"Janie Agyagos, Frank Agaygos",6/10/24,None,34.539046,-111.703979,78.3,74.2,26.7,"Lots of tall sweetclover and then riparian trees along stream edge. Cliff on one side, no streamside grasses. Semi-high rec use.",
Oak Creek,Crescent Moon,Margie and David Terrell,6/13/24,None,34.82566,-111.80442,84,,20,,
Verde River,Black Canyon,"Susan Birdsey, Vincent Nuccio",6/16/24,None,34.68487,-111.9639,,,6,"Sky glow, recreation in area.",
Oak Creek,Windmill Park Creekfront,Margie and David Terrell,6/21/24,None,34.71846,-111.91635,99,96,20,"Many birds flying and drinking- swallows, summer tanagers, yellowthroats, owl. Dragonflies, crickets, frogs present. Cottonwood, Ash, and Sycamore trees. No habitat management evident.",
Verde River,Tissaw Enclosure,Dale Evans,6/26/24,None,34.683411,-111.95938,81,78,53,"Riparian area has tall grass (2 ft) and moist soil from bank to 10 inches from water then dry grass, sand, and brush.",
Dry Beaver Creek,Stagestop,Peter Malmgren,6/27/24,None,34.71363,-111.78495,,,,,
Walker Creek,Walker Creek,Peter Malmgren,7/1/24,None,34.64801,-111.72057,82,74,70,Livestock grazing,
Verde River,White Bridge,"Rachael Warburton, Steven Warburton",7/1/24,None,34.550223,-111.851072,77,75.8,72.6,Ended survey at 8:20pm but lingered until about 8:30.,
Verde River,Tissaw Enclosure,Dale Evans,7/2/24,None,34.683411,-111.95938,93,89,17,,
