obs_name,num_obs,date,site_name,pt_num,pt_id,site_start_time,end_time,five_min_start,five_min_end,hour,min,decimal_min,hour_of_start,sunset_time,minutes_after_sunset,moonlight,clouds,wind,precip,humidity,start_temp,end_temp,min_lux,max_lux,light_source,sky_glow,light_trespass,glare,habitat,sm1,sm2,sm3,sm4,fireflies,species
rl,3,20240609,ps,1,PS01,1927,1935,1930,1935,19,30,0.50,19.50,1927,3,partial,0-20,0,dry,28,75.2,76.6,129,163,sun,none,none,none,riparian,1,10,NA,NA,no,
rl,3,20240609,ps,3,PS03,1955,2008,2003,2008,20,03,0.05,20.05,1927,76,partial,0-20,0,dry,26.8,75,74.1,0,0,sun,none,none,none,woodland,8.5,4.5,4,NA,no,
rl,3,20240609,ps,10,PS10,2025,2037,2032,2037,20,32,0.53,20.53,1927,105,partial,0-20,0,dry,28,68.2,64,0,0,sun,none,none,none,cienega,9,9,10,10,no,
rl,3,20240609,ps,9,PS09,2058,2107,2101,2106,21,01,0.02,21.02,1927,174,partial,0-20,0,dry,41.8,64,61.6,0,0,moon,yes,none,none,cienega,10,10,10,NA,no,
rl,3,20240609,ps,11,PS11,2116,2127,2121,2126,21,21,0.35,21.35,1927,194,partial,0-20,0,dry,38.6,61.9,59.9,0,0,moon,yes,none,none,cienega,10,10,10,9,no,
rl,3,20240610,ps,4,PS04,1914,1933,1928,1933,19,28,0.47,19.47,1927,1,partial,0-20,0,dry,38.8,74.6,74.7,26,29,sun,none,none,none,riparian,9.5,10,9,8.5,no,
rl,3,20240610,ps,7,PS07,1943,1951,1946,1951,19,46,0.77,19.77,1928,18,partial,0-20,0,dry,30,72.7,NA,2,3,sun,none,none,none,woodland,3,3.5,2,2,no,
rl,3,20240610,ps,5,PS05,2001,2008,2003,2008,20,03,0.05,20.05,1928,75,partial,0-20,0,dry,36,69.4,73.9,0,0,sun,none,none,none,woodland,1,1,1,1,no,
rl,3,20240610,ps,6,PS06,2013,2021,2016,2021,20,16,0.27,20.27,1928,88,partial,0-20,0,dry,36,68,68.4,0,0,sun,none,none,none,woodland,3,2,1,1.5,no,
rl,3,20240610,ps,8,PS08,2032,2042,2036,2041,20,36,0.60,20.60,1928,108,partial,0-20,0,dry,47.5,66.9,65.6,0,0,moon,none,none,none,riparian,4.5,10,2,4,no,
rl,3,20240617,ps,9,PS09,1925,1936,1930,1935,19,30,0.50,19.50,1930,0,bright,0-20,0.9,dry,17.8,85.2,83.9,489,510,sun,none,none,none,cienega,10,10,9,10,no,
rl,3,20240617,ps,1,PS01,2054,2101,2056,2061,20,56,0.93,20.93,1930,126,bright,0-20,0,dry,27,79.1,79.1,0,0,moon,none,none,none,woodland,NA,NA,NA,NA,no,
rl,3,20240617,ps,3,PS03,2035,2043,2038,2043,20,38,0.63,20.63,1930,108,bright,0-20,0.7,dry,23.5,80.8,79.4,0,0,moon,none,none,none,woodland,1,1,1,4,no,
rl,3,20240617,ps,10,PS10,2007,2018,2013,2018,20,13,0.22,20.22,1930,83,bright,0-20,2.1,dry,24.3,79,77,0,0,moon,none,none,none,cienega,8,8.5,9,10,no,
rl,3,20240617,ps,11,PS11,1944,2000,1954,1959,19,54,0.90,19.90,1930,24,bright,0-20,3.2,dry,24,79.5,77.6,17,22,sun,none,none,none,cienega,9,9,9,10,no,
rl,3,20240618,ps,4,PS04,2043,2051,2046,2051,20,46,0.77,20.77,1931,115,bright,0-20,0,dry,40.9,74.1,74.5,0,0,moon,none,none,none,riparian,8,9,10,10,yes,
rl,3,20240618,ps,8,PS08,1940,1951,1946,1951,19,46,0.77,19.77,1931,15,bright,0-20,0.8,dry,23.9,80.8,80.7,7,10,sun,none,none,none,riparian,8,10,2,3.5,yes,
rl,3,20240618,ps,5,PS05,2025,2034,2029,2034,20,29,0.48,20.48,1931,98,bright,0-20,0,dry,35.4,74.5,76.1,0,0,moon,none,none,none,woodland,1,1,2.5,1,no,
rl,3,20240618,ps,6,PS06,2011,2021,2016,2021,20,16,0.27,20.27,1931,85,bright,0-20,0,dry,38.4,76.5,75.9,0,0,moon,none,none,none,woodland,2,2.5,NA,NA,no,
rl,3,20240618,ps,7,PS07,2100,2107,2103,3207,21,03,0.05,21.05,1931,172,bright,0-20,0,dry,37.7,70.9,71.3,0,0,moon,none,none,none,woodland,2,2,1,1,no,
rl,2,20240619,ch,4,CH04,2053,2103,2058,2103,20,58,0.97,20.97,1930,128,near full,0-20,0,dry,42.4,64.7,65.3,0,0,moon,none,none,none,cienega,2,3,3.5,3,no,
rl,2,20240619,ch,3,CH03,2036,2046,2041,2046,20,41,0.68,20.68,1930,111,near full,0-20,0.8,dry,37.7,65.7,64.6,0,5,moon,none,none,none,cienega,5.5,2,3.5,4.5,no,
rl,2,20240619,ch,5,CH05,2005,2016,2011,2016,20,11,0.18,20.18,1930,81,near full,0-20,0,dry,29.6,70.2,71.5,0,23,moon,none,none,none,riparian,6,2,4,6,no,
rl,2,20240619,ch,2,CH02,1935,1950,1945,1950,19,45,0.75,19.75,1930,15,near full,0-20,0,dry,28,77.4,75.6,37,72,sun,none,none,none,riparian,1,2,2,4,no,
rl,5,20240623,ps,4,PS04,1935,1940,1935,1940,19,35,0.58,19.58,1932,3,partial,81-100,0.9,recent rain,87.3,71.1,NA,4,6,sun,none,none,none,riparian,10,8.5,10,10,yes,
rl,4,20240623,ps,4,PS04,2130,2135,2130,2135,21,30,0.50,21.50,1932,198,partial,81-100,0,recent rain,75.7,73.7,NA,0,0,moon,yes,none,none,riparian,10,8.5,10,10,yes,
rl,5,20240623,ps,8,PS08,2101,2105,2101,2105,21,01,0.02,21.02,1932,169,partial,81-100,1.7,recent rain,78.54,72.1,73.3,0,0,moon,yes,none,none,riparian,6.5,10,3,6,yes,
rl,5,20240623,ps,6,PS06,2041,2046,2041,2046,20,41,0.68,20.68,1932,109,partial,81-100,1.1,recent rain,70.5,76.6,71.6,0,0,moon,yes,none,none,woodland,7,6,4,6,yes,
